SalesOrder ID,Order Date,Expected Shipment Date,SalesOrder Number,Status,Custom Status,Customer ID,Sales Channel,Customer Name,PurchaseOrder,Template Name,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Amount,Entity Discount Percent,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Kit Combo Item Name,Account,Item Desc,QuantityOrdered,QuantityInvoiced,QuantityPacked,QuantityCancelled,Usage unit,Item Price,Discount,Discount Amount,Item Total,SubTotal,Total,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Adjustment,Adjustment Description,Sales Person,Payment Terms,Payment Terms Label,Notes,Terms & Conditions,Delivery Method,Source,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Billing Phone,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone
3645827000000075585,2022-11-21,,SO-00001,invoiced,,3645827000000075575,direct_sales,360 Communities,,Standard Template,USD,1.00,entity_level,true,0.000,0.00,boys socks-small,3645827000000075275,,,,,,,Sales,,5.00,5.00,5.00,0.00,pairs,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000075585,2022-11-21,,SO-00001,invoiced,,3645827000000075575,direct_sales,360 Communities,,Standard Template,USD,1.00,entity_level,true,0.000,0.00,boys underwear-medium,3645827000000075427,,,,,,,Sales,,10.00,10.00,10.00,0.00,pairs,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's socks,3645827000000075235,,,,,,,Sales,,225.00,225.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-2-3XL,3645827000000075325,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-XL,3645827000000080210,,,,,,,Sales,,60.00,60.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-large,3645827000000075319,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-medium,3645827000000075317,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-small,3645827000000075315,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,men's socks,3645827000000075175,,,,,,,Sales,,90.00,90.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,men's underwear-XL,3645827000000075385,,,,,,,Sales,,15.00,15.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,men's underwear-large,3645827000000075383,,,,,,,Sales,,15.00,15.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,men's underwear-medium,3645827000000075381,,,,,,,Sales,,15.00,15.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089011,2023-02-03,,SO-00002,invoiced,,3645827000000089001,direct_sales,Deaconess Homes Shelter,,Standard Template,USD,1.00,item_level,true,0.0,0.00,men's underwear-small,3645827000000075379,,,,,,,Sales,,15.00,15.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089223,2023-02-03,,SO-00003,invoiced,,3645827000000089213,direct_sales,Aliveness Project,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-2-3XL,3645827000000075325,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089223,2023-02-03,,SO-00003,invoiced,,3645827000000089213,direct_sales,Aliveness Project,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-XL,3645827000000080210,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089223,2023-02-03,,SO-00003,invoiced,,3645827000000089213,direct_sales,Aliveness Project,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-large,3645827000000075319,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
3645827000000089223,2023-02-03,,SO-00003,invoiced,,3645827000000089213,direct_sales,Aliveness Project,,Standard Template,USD,1.00,item_level,true,0.0,0.00,women's underwear-medium,3645827000000075317,,,,,,,Sales,,45.00,45.00,0.00,0.00,pairs,0.00,0.00,0.000,0.00,0.00,0.00,0.00,,,0.00,Adjustment,,0,Due on Receipt,,,,1,,,,,,,,,,,,,,,,
